TEAM1_WIN,AST%_TEAM1,LAST_TEAM1,FT%_TEAM1,EXP_TEAM1,BARTHAG_TEAM1,WAB_TEAM1,CONSISTENCY TR RATING_TEAM1,SEED_TEAM1,BADJ EM_TEAM1,TR RANK_TEAM1,AST%_TEAM2,LAST_TEAM2,FT%_TEAM2,EXP_TEAM2,BARTHAG_TEAM2,WAB_TEAM2,CONSISTENCY TR RATING_TEAM2,SEED_TEAM2,BADJ EM_TEAM2,TR RANK_TEAM2
1,63.7,2.0,74.2,1.709,0.971,11.3,10.8,1.0,33.493,2.0,64.5,3.0,72.1,1.864,0.964,11.0,8.4,1.0,31.493,3.0
1,54.8,2.0,72.6,1.13,0.956,10.2,12.8,1.0,27.1,1.0,55.8,203.0,80.0,2.721,0.451,-6.0,11.2,16.0,-1.8,203.0
1,46.3,24.0,73.9,2.471,0.863,1.0,10.9,8.0,16.5,23.0,50.5,25.0,74.1,2.499,0.895,1.5,11.6,9.0,19.7,24.0
0,49.1,73.0,74.3,2.031,0.782,1.7,8.5,12.0,11.5,73.0,51.9,29.0,73.6,2.718,0.919,5.8,8.4,5.0,21.2,30.0
0,65.8,27.0,70.1,2.23,0.871,4.1,8.9,4.0,16.9,29.0,58.5,85.0,73.5,1.893,0.697,-2.0,10.9,13.0,7.8,85.0
1,57.8,12.0,76.7,1.549,0.913,1.9,10.3,6.0,21.0,12.0,45.0,42.0,72.0,2.24,0.84,1.1,12.4,11.0,15.2,43.0
0,52.9,117.0,73.7,2.238,0.624,-1.4,9.7,14.0,4.7,119.0,56.4,11.0,74.9,1.843,0.904,5.3,10.3,3.0,21.4,11.0
0,62.3,35.0,76.7,2.545,0.869,3.2,10.8,10.0,17.5,35.0,56.5,51.0,75.8,2.645,0.806,3.5,11.8,7.0,13.7,51.0
0,65.3,10.0,70.9,1.986,0.932,7.6,10.8,2.0,24.3,10.0,47.9,124.0,71.3,1.801,0.659,-3.2,10.3,15.0,6.0,117.0
0,60.9,9.0,74.3,1.238,0.945,9.4,8.6,1.0,25.9,9.0,51.5,308.0,74.9,1.943,0.216,-12.2,10.2,16.0,-12.4,308.0
1,51.0,43.0,71.8,2.036,0.874,4.8,10.2,9.0,17.4,42.0,54.6,33.0,74.7,2.802,0.899,4.7,8.3,8.0,19.7,26.0
0,47.9,82.0,78.4,2.744,0.761,1.6,12.9,12.0,10.7,82.0,56.4,16.0,77.0,0.878,0.892,4.5,11.7,5.0,18.8,16.0
1,66.2,3.0,71.4,1.911,0.949,2.8,12.3,4.0,24.9,3.0,50.8,110.0,67.2,2.179,0.715,-0.5,7.2,13.0,8.5,110.0
0,53.4,45.0,74.5,1.89,0.825,1.1,9.8,11.0,14.5,45.0,55.7,19.0,70.3,1.982,0.862,1.6,12.2,6.0,16.9,19.0
0,49.6,129.0,76.3,2.337,0.693,-2.6,9.3,14.0,7.1,129.0,64.0,31.0,75.0,2.51,0.875,4.3,9.6,3.0,17.2,32.0
0,51.7,41.0,74.4,1.669,0.832,2.1,10.6,10.0,14.4,41.0,57.6,34.0,76.2,2.001,0.864,2.4,9.1,7.0,16.6,34.0
1,59.3,13.0,72.1,1.289,0.922,7.6,8.7,2.0,23.0,13.0,52.1,112.0,70.3,2.423,0.676,-3.8,10.7,15.0,6.7,112.0
0,54.7,173.0,70.4,2.025,0.5,-6.7,10.1,16.0,0.0,173.0,53.8,1.0,71.9,1.611,0.964,8.1,10.3,1.0,29.1,2.0
1,55.0,21.0,70.2,2.195,0.881,1.1,11.0,9.0,17.7,21.0,58.1,26.0,73.9,2.022,0.844,0.3,12.2,8.0,16.2,27.0
0,49.1,63.0,77.1,2.268,0.791,-0.7,11.5,12.0,11.8,64.0,51.6,36.0,77.6,2.099,0.842,3.7,9.0,5.0,15.9,36.0
1,54.2,17.0,71.2,1.806,0.864,3.4,11.0,4.0,16.7,17.0,45.0,81.0,72.3,2.393,0.779,0.9,9.2,13.0,11.0,81.0
0,54.9,23.0,67.4,2.387,0.893,2.4,11.2,6.0,18.2,22.0,54.5,70.0,76.1,2.248,0.766,-0.2,10.8,11.0,11.0,70.0
1,63.8,15.0,71.4,2.432,0.895,5.2,8.6,3.0,20.2,15.0,54.2,150.0,66.3,2.375,0.623,-1.4,8.5,14.0,4.5,150.0
